time,open,high,low,close,tick_volume,spread,real_volume,ep_high,ep_low
2022.02.03 21:43:00,1.35938,1.35938,1.35919,1.35921,78,8,0.00000,0.00000,0.00000
2022.02.03 21:42:00,1.35955,1.35957,1.35933,1.35938,49,8,0.00000,0.00000,0.00000
2022.02.03 21:41:00,1.35955,1.35959,1.35946,1.35955,48,8,0.00000,0.00000,0.00000
2022.02.03 21:40:00,1.35964,1.35964,1.35952,1.35956,54,8,0.00000,0.00000,0.00000
2022.02.03 21:39:00,1.35974,1.35975,1.35956,1.35964,19,8,0.00000,0.00000,0.00000
2022.02.03 21:38:00,1.35967,1.35981,1.35966,1.35974,29,9,0.00000,1.35974,0.00000
2022.02.03 21:37:00,1.35954,1.35968,1.35954,1.35968,49,8,0.00000,0.00000,0.00000
2022.02.03 21:36:00,1.35986,1.35986,1.35954,1.35954,51,8,0.00000,0.00000,1.35954
2022.02.03 21:35:00,1.35997,1.35999,1.35984,1.35986,30,8,0.00000,0.00000,0.00000
2022.02.03 21:34:00,1.35976,1.35997,1.35975,1.35997,36,9,0.00000,1.35997,0.00000
2022.02.03 21:33:00,1.35965,1.35978,1.35965,1.35976,70,8,0.00000,0.00000,1.35965
2022.02.03 21:32:00,1.35984,1.35984,1.35969,1.35971,69,8,0.00000,0.00000,0.00000
2022.02.03 21:31:00,1.35984,1.35987,1.35974,1.35983,47,8,0.00000,0.00000,0.00000
2022.02.03 21:30:00,1.35996,1.36001,1.35982,1.35984,56,9,0.00000,0.00000,0.00000
2022.02.03 21:29:00,1.36001,1.36002,1.35993,1.35996,52,9,0.00000,0.00000,0.00000
2022.02.03 21:28:00,1.36018,1.36025,1.35999,1.36000,78,8,0.00000,0.00000,0.00000
2022.02.03 21:27:00,1.36018,1.36023,1.36017,1.36017,35,8,0.00000,0.00000,0.00000
2022.02.03 21:26:00,1.36024,1.36025,1.36017,1.36018,30,10,0.00000,0.00000,0.00000
2022.02.03 21:25:00,1.36035,1.36040,1.36023,1.36024,31,9,0.00000,0.00000,0.00000
2022.02.03 21:24:00,1.36034,1.36036,1.36024,1.36035,41,8,0.00000,0.00000,0.00000
2022.02.03 21:23:00,1.36046,1.36046,1.36034,1.36034,28,9,0.00000,0.00000,0.00000
2022.02.03 21:22:00,1.36048,1.36048,1.36040,1.36046,35,10,0.00000,0.00000,0.00000
2022.02.03 21:21:00,1.36055,1.36055,1.36044,1.36048,42,10,0.00000,0.00000,0.00000
2022.02.03 21:20:00,1.36058,1.36059,1.36044,1.36057,58,8,0.00000,1.36058,0.00000
2022.02.03 21:19:00,1.36047,1.36057,1.36044,1.36057,37,10,0.00000,0.00000,0.00000
2022.02.03 21:18:00,1.36055,1.36055,1.36044,1.36046,49,8,0.00000,0.00000,0.00000
2022.02.03 21:17:00,1.36043,1.36057,1.36043,1.36054,32,8,0.00000,0.00000,0.00000
2022.02.03 21:16:00,1.36036,1.36045,1.36034,1.36044,33,8,0.00000,0.00000,0.00000
2022.02.03 21:15:00,1.36046,1.36046,1.36034,1.36035,38,8,0.00000,0.00000,1.36035
2022.02.03 21:14:00,1.36054,1.36056,1.36044,1.36046,42,8,0.00000,0.00000,0.00000
2022.02.03 21:13:00,1.36055,1.36055,1.36045,1.36052,54,8,0.00000,0.00000,0.00000
2022.02.03 21:12:00,1.36049,1.36057,1.36049,1.36054,47,8,0.00000,0.00000,0.00000
2022.02.03 21:11:00,1.36065,1.36065,1.36047,1.36047,47,8,0.00000,0.00000,0.00000
2022.02.03 21:10:00,1.36062,1.36071,1.36058,1.36065,61,8,0.00000,0.00000,0.00000
2022.02.03 21:09:00,1.36065,1.36067,1.36058,1.36062,73,8,0.00000,0.00000,0.00000
2022.02.03 21:08:00,1.36074,1.36074,1.36064,1.36066,52,8,0.00000,0.00000,0.00000
2022.02.03 21:07:00,1.36069,1.36078,1.36063,1.36075,73,8,0.00000,1.36075,0.00000
2022.02.03 21:06:00,1.36064,1.36069,1.36059,1.36068,70,8,0.00000,0.00000,0.00000
2022.02.03 21:05:00,1.36062,1.36077,1.36059,1.36066,79,8,0.00000,0.00000,0.00000
2022.02.03 21:04:00,1.36056,1.36063,1.36049,1.36062,59,8,0.00000,0.00000,0.00000
2022.02.03 21:03:00,1.36038,1.36058,1.36038,1.36056,50,8,0.00000,0.00000,0.00000
2022.02.03 21:02:00,1.36038,1.36041,1.36028,1.36039,78,8,0.00000,0.00000,0.00000
2022.02.03 21:01:00,1.36055,1.36055,1.36034,1.36038,53,8,0.00000,1.36055,1.36038
2022.02.03 21:00:00,1.36050,1.36056,1.36044,1.36054,54,8,0.00000,0.00000,0.00000
2022.02.03 20:59:00,1.36054,1.36055,1.36044,1.36050,77,8,0.00000,0.00000,0.00000
2022.02.03 20:58:00,1.36051,1.36065,1.36051,1.36054,74,8,0.00000,0.00000,0.00000
2022.02.03 20:57:00,1.36045,1.36054,1.36043,1.36050,37,8,0.00000,0.00000,0.00000
2022.02.03 20:56:00,1.36037,1.36047,1.36037,1.36046,32,8,0.00000,0.00000,0.00000
2022.02.03 20:55:00,1.36040,1.36043,1.36030,1.36037,62,8,0.00000,0.00000,0.00000
2022.02.03 20:54:00,1.36045,1.36050,1.36038,1.36041,46,8,0.00000,0.00000,0.00000
2022.02.03 20:53:00,1.36034,1.36046,1.36028,1.36046,44,8,0.00000,0.00000,0.00000
